date,close
2024-06-20,111.1729
2024-06-21,111.4711
2024-06-22,111.7998
2024-06-23,112.1527
2024-06-24,112.5233
2024-06-25,112.9045
2024-06-26,113.2894
2024-06-27,113.6708
2024-06-28,114.0419
2024-06-29,114.3960
2024-06-30,114.7269
2024-07-01,115.0289
2024-07-02,115.2970
2024-07-03,115.5271
2024-07-04,115.7157
2024-07-05,115.8604
2024-07-06,115.9599
2024-07-07,116.0136
2024-07-08,116.0221
2024-07-09,115.9871
2024-07-10,115.9111
2024-07-11,115.7975
2024-07-12,115.6509
2024-07-13,115.4761
2024-07-14,115.2791
2024-07-15,115.0660
2024-07-16,114.8436
2024-07-17,114.6188
2024-07-18,114.3987
2024-07-19,114.1904
2024-07-20,114.0007
2024-07-21,113.8362
2024-07-22,113.7030
2024-07-23,113.6067
2024-07-24,113.5520
2024-07-25,113.5431
2024-07-26,113.5829
2024-07-27,113.6738
2024-07-28,113.8168
2024-07-29,114.0122
2024-07-30,114.2590
2024-07-31,114.5553
2024-08-01,114.8981
2024-08-02,115.2837
2024-08-03,115.7072
2024-08-04,116.1632
2024-08-05,116.6455
2024-08-06,117.1473
2024-08-07,117.6615
2024-08-08,118.1807
2024-08-09,118.6974
2024-08-10,119.2041
2024-08-11,119.6933
2024-08-12,120.1580
2024-08-13,120.5917
2024-08-14,120.9883
2024-08-15,121.3425
2024-08-16,121.6498
2024-08-17,121.9067
2024-08-18,122.1104
2024-08-19,122.2594
2024-08-20,122.3530
2024-08-21,122.3917
2024-08-22,122.3771
2024-08-23,122.3115
2024-08-24,122.1986
2024-08-25,122.0425
2024-08-26,121.8486
2024-08-27,121.6226
2024-08-28,121.3709
2024-08-29,121.1003
2024-08-30,120.8180
2024-08-31,120.5312
2024-09-01,120.2473
2024-09-02,119.9733
2024-09-03,119.7162
2024-09-04,119.4823
2024-09-05,119.2775
2024-09-06,119.1069
